Muestra	Pragmático.N	Reflexivo.N	Activo.N	Teórico.N	Pragmático	Reflexivo	Activo	Teórico	Marca_temporal	Pograma	Universidad	área_estudio	nivel_académico	etapa_estudio	institución_escolar	preuniversitario	multi_carrera	desempeño_anterior	trabaja	experiencia_laboral	edad	edad2	tecnológico	tecnológico2	origen_geo	territorio	movilidad	lengua	idiomas	etnia	religión	nivel_socioeconómico	nivel_socioeconómico2	clase_social	func_física	func_cognitiva	func_cognitiva2	género	sexo	orientación_sexual	motivación	objetivo	proyección	estilo_VARK	1. ¿Cuál es el resultado de tu preferencia de aprendizaje según el cuestionario?
M149	16	18	12	14	Moderada	Alta	Moderada	Moderada	2026/04/10 5:05:56 p. m. GMT-4	Ing. De Minas	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Adquirir conocimientos.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	VAK	Multimodal (VAK)
M150	16	15	17	13	Moderada	Baja	Alta	Baja	2026/04/10 5:06:45 p. m. GMT-4	Economía 	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	Sí	Sí	Tercio superior	Sí	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Subclase o clase popular	Funcionalidad física típica (sin discapacidad)	Trastorno por déficit de atención con hiperactividad (TDAH)	TDAH	Mujer	Femenino	Heterosexual	Evitar el desempleo o quedarme rezagado frente a mis pares (evitar consecuencias negativas).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VA	Multimodal (VA)
M151	14	18	11	20	Moderada	Alta	Moderada	Muy alta	2026/04/10 5:12:40 p. m. GMT-4	Marketing 	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona rural	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	AK	Multimodal (AK)
M152	15	17	11	12	Moderada	Moderada	Moderada	Baja	2026/04/10 5:16:58 p. m. GMT-4	Economía	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Nacional (otras regiones de Perú)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Limitaciones visuales	Trastorno por déficit de atención con hiperactividad (TDAH)	TDAH	Mujer	Femenino	Heterosexual	Superación personal y alcanzar metas propias.	Obtener buenas calificaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VRK	Multimodal (VRK)
M153	14	16	15	19	Moderada	Moderada	Alta	Muy alta	2026/04/10 5:21:28 p. m. GMT-4	Ingeniería Electrónica	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Público	No	No	Tercio medio	Sí	Sí	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Indígena Aymara	Agnosticismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Hacer vínculos y contactos útiles.	Quiero crear mi propio proyecto o empresa (emprendimiento).	VAK	Multimodal (VAK)
M154	10	13	10	11	Muy baja	Baja	Moderada	Muy baja	2026/04/10 5:21:44 p. m. GMT-4	Física 	UNSA	Ciencias naturales y exactas	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Recibir distinciones o premios académicos.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	K muy fuerte	Kinestésico, muy fuerte
M155	14	13	10	11	Moderada	Baja	Moderada	Muy baja	2026/04/10 5:24:05 p. m. GMT-4	Ing. Química	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Recibir distinciones o premios académicos.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VARK	Multimodal (VARK)
M156	14	10	13	11	Moderada	Muy baja	Moderada	Muy baja	2026/04/10 5:25:24 p. m. GMT-4	Ing agronomica	UNSA	Ciencias naturales y exactas	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Testigo de Jehová	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero estabilidad material y financiera (seguridad económica).	K fuerte	Kinestésico, fuerte
M157	11	16	7	14	Baja	Moderada	Muy baja	Moderada	2026/04/10 5:25:29 p. m. GMT-4	Ingeniería Pesquera 	UNSA	Ciencias naturales y exactas	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual		Obtener buenas calificaciones.		ARK	Multimodal (ARK)
M158	10	19	12	17	Muy baja	Alta	Moderada	Alta	2026/04/10 5:29:53 p. m. GMT-4	Antropología 	UNSA	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	VARK integrativo	Multimodal (VARK Integrativo)
M159	15	17	10	18	Moderada	Moderada	Moderada	Alta	2026/04/10 5:35:01 p. m. GMT-4	Química	UNSA	Ciencias naturales y exactas	Pregrado (o grado universitario)	Al final	Público	Sí	Sí	Tercio medio	Sí	No	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Agnosticismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	VK	Multimodal (VK)
M160	14	16	9	12	Moderada	Moderada	Baja	Baja	2026/04/10 5:39:47 p. m. GMT-4	Ingenieria Eléctrica	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	VK	Multimodal (VK)
M161	14	15	13	17	Moderada	Baja	Moderada	Alta	2026/04/10 5:48:25 p. m. GMT-4	Psicologia	UNSA	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al final	Público	Sí	No	Tercio medio	Sí	Sí	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona rural	Movilidad nacional (a otra región o ciudad de Perú)	Quechua	Multilingüe	Indígena Quechua	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Subclase o clase popular	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	R fuerte	Lectura/Escritura, fuerte
M162	11	16	9	12	Baja	Moderada	Baja	Baja	2026/04/10 5:48:35 p. m. GMT-4	Relaciones Industriales 	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio superior	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Deísmo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K fuerte	Kinestésico, fuerte
M163	11	16	13	13	Baja	Moderada	Moderada	Baja	2026/04/10 6:12:56 p. m. GMT-4	Ing electrónica	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Bisexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Hacer vínculos y contactos útiles.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	V media	Visual, media
M164	12	18	9	18	Baja	Alta	Baja	Alta	2026/04/10 6:14:25 p. m. GMT-4	Sociología 	UNSA	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al final	Público	Sí	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K media	Kinestésico, media
M165	14	18	8	16	Moderada	Alta	Baja	Moderada	2026/04/10 6:22:49 p. m. GMT-4	Ingenieria industrial 	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Público	No	Sí	Tercio inferior	No	Sí	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Adquirir conocimientos.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	VARK	Multimodal (VARK)
M166	16	17	11	15	Moderada	Moderada	Moderada	Moderada	2026/04/10 6:25:29 p. m. GMT-4	Educación 	UNSA	Ciencias naturales y exactas	Pregrado (o grado universitario)	Al inicio	Público	Sí	Sí	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Quechua	Monolingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V media	Visual, media
M167	10	13	11	14	Muy baja	Baja	Moderada	Moderada	2026/04/10 6:31:25 p. m. GMT-4	Gestión Pública	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Otro o ninguno	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Superación personal y alcanzar metas propias.	Obtener buenas calificaciones.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	AK	Multimodal (AK)
M168	12	14	13	13	Baja	Baja	Moderada	Baja	2026/04/10 6:34:33 p. m. GMT-4	Gestión de empresas	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	Superación personal y alcanzar metas propias.	Obtener buenas calificaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	VK	Multimodal (VK)
M169	15	14	12	11	Moderada	Baja	Moderada	Muy baja	2026/04/10 6:37:11 p. m. GMT-4	Ing. biotecnológica	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Ateísmo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	AK	Multimodal (AK)
M170	15	14	9	15	Moderada	Baja	Baja	Moderada	2026/04/10 6:41:46 p. m. GMT-4	Ingeniería Biotecnológica	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Agnosticismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	AK	Multimodal (AK)
M171	12	16	13	12	Baja	Moderada	Moderada	Baja	2026/04/10 6:41:54 p. m. GMT-4	Ing. Industrial	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	A media	Auditivo, media
M172	12	18	11	13	Baja	Alta	Moderada	Baja	2026/04/10 6:45:37 p. m. GMT-4	Biología 	UNSA	Ciencias naturales y exactas	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VARK selectivo	Multimodal (VARK Selectivo)
M173	10	19	7	17	Muy baja	Alta	Muy baja	Alta	2026/04/10 6:51:14 p. m. GMT-4	Economía 	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Superación personal y alcanzar metas propias.	Hacer vínculos y contactos útiles.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K muy fuerte	Kinestésico, muy fuerte
M174	15	16	11	16	Moderada	Moderada	Moderada	Moderada	2026/04/10 6:53:42 p. m. GMT-4	Ingeniería industrial 	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	V muy fuerte	Visual, muy fuerte
M175	18	15	16	16	Alta	Baja	Alta	Moderada	2026/04/10 6:53:44 p. m. GMT-4	Finanzas	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio medio	Sí	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona rural	Movilidad nacional (a otra región o ciudad de Perú)	Quechua	Bilingüe	Indígena Quechua	Ninguna	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Otras formas de neurodiversidad	Otras	Hombre	Masculino	Heterosexual	Superación personal y alcanzar metas propias.	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	R muy fuerte	Lectura/Escritura, muy fuerte
M176	13	17	8	15	Moderada	Moderada	Baja	Moderada	2026/04/10 6:54:37 p. m. GMT-4	Ingeniería mecánica 	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Mestizo	Deísmo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Limitaciones visuales	Trastorno del espectro autista (TEA)	TEA	Hombre	Masculino	Heterosexual	Superación personal y alcanzar metas propias.	Hacer vínculos y contactos útiles.	Quiero crear mi propio proyecto o empresa (emprendimiento).	VARK	Multimodal (VARK)
M177	12	17	13	16	Baja	Moderada	Moderada	Moderada	2026/04/10 6:56:28 p. m. GMT-4	Ingeniería Civil 	UNSA	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Local (región de Arequipa)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Protestantismo (evangélicos y pentecostalismo)	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Subclase o clase popular	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Lograr mayor reconocimiento social o prestigio profesional.	Recibir distinciones o premios académicos.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	VAK	Multimodal (VAK)
M178	15	16	12	14	Moderada	Moderada	Moderada	Moderada	2026/04/10 6:56:49 p. m. GMT-4	Economia	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Agnosticismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Subclase o clase popular	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Evitar reprobar materias o abandonar los estudios.	Quiero estabilidad material y financiera (seguridad económica).	VAK	Multimodal (VAK)
M179	14	18	14	13	Moderada	Alta	Alta	Baja	2026/04/10 6:56:57 p. m. GMT-4	Gestión de proyectos	UNSA	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Local (región de Arequipa)	Zona rural	Movilidad nacional (a otra región o ciudad de Perú)	Quechua	Bilingüe	Indígena Quechua	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Limitaciones visuales	Trastorno por déficit de atención con hiperactividad (TDAH)	TDAH	Hombre	Masculino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	R fuerte	Lectura/Escritura, fuerte
