Muestra	Pragmático.N	Reflexivo.N	Activo.N	Teórico.N	Pragmático	Reflexivo	Activo	Teórico	Marca_temporal	Pograma	Universidad	área_estudio	nivel_académico	etapa_estudio	institución_escolar	preuniversitario	multi_carrera	desempeño_anterior	trabaja	experiencia_laboral	edad	edad2	tecnológico	tecnológico2	origen_geo	territorio	movilidad	lengua	idiomas	etnia	religión	nivel_socioeconómico	nivel_socioeconómico2	clase_social	func_física	func_cognitiva	func_cognitiva2	género	sexo	orientación_sexual	motivación	objetivo	proyección	estilo_VARK	1. ¿Cuál es el resultado de tu preferencia de aprendizaje según el cuestionario?
M91	12	18	10	16	Baja	Alta	Moderada	Moderada	2026/04/06 1:57:05 a. m. GMT-4	Administración de negocios internacionales 	UTP	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Capital de país	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Blanco	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C		Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Obtener buenas calificaciones.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	K muy fuerte	Kinestésico, muy fuerte
M92	17	6	10	11	Alta	Muy baja	Moderada	Muy baja	2026/04/06 8:01:58 a. m. GMT-4		UTP	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Ateísmo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Obtener buenas calificaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	V fuerte	Visual, fuerte
M93	12	13	10	16	Baja	Baja	Moderada	Moderada	2026/04/06 4:29:19 p. m. GMT-4	Psicología 	UTP	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Protestantismo (evangélicos y pentecostalismo)			Clase trabajadora				Mujer	Femenino	Heterosexual	Superación personal y alcanzar metas propias.	Adquirir conocimientos.	Quiero estabilidad material y financiera (seguridad económica).	R media	Lectura/Escritura, media
M94	12	12	11	13	Baja	Muy baja	Moderada	Baja	2026/04/06 4:47:03 p. m. GMT-4	Nutrición y dietética 	UTP	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Quechua	Monolingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Subclase o clase popular	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	A media	Auditivo, media
M95	18	14	17	12	Alta	Baja	Alta	Baja	2026/04/06 6:20:04 p. m. GMT-4	Ing civil 	UTP	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio medio	Sí	Sí	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Cristianismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Dislexia	Dislexia	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Obtener buenas calificaciones.	Quiero crear mi propio proyecto o empresa (emprendimiento).	K fuerte	Kinestésico, fuerte
M96	20	18	18	19	Muy alta	Alta	Muy alta	Muy alta	2026/04/07 1:15:25 p. m. GMT-4	Ingeniería Industrial	UTP	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Público	No	No	Tercio superior	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Superación personal y alcanzar metas propias.	Recibir distinciones o premios académicos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	VAK	Multimodal (VAK)
M97	17	16	8	17	Alta	Moderada	Baja	Alta	2026/04/07 2:23:43 p. m. GMT-4	Ingeniería industrial	UTP	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Blanco	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Hacer vínculos y contactos útiles.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	V muy fuerte	Visual, muy fuerte
M98	8	16	11	14	Muy baja	Moderada	Moderada	Moderada	2026/04/07 2:30:56 p. m. GMT-4	Enfermería 	UTP	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Obtener buenas calificaciones.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	V muy fuerte	Visual, muy fuerte
M99	14	15	12	13	Moderada	Baja	Moderada	Baja	2026/04/07 3:47:00 p. m. GMT-4	Administración y marketing 	UTP	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Mestizo		Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino		Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Obtener buenas calificaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V media	Visual, media
M100	14	16	12	15	Moderada	Moderada	Moderada	Moderada	2026/04/07 4:07:50 p. m. GMT-4	Administración de negocios internacionales 	UTP	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Superación personal y alcanzar metas propias.	Usar esta formación para acceder a posgrados o especializaciones.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	ARK	Multimodal (ARK)
